Order ID,Sale ID,Date,Order,Transaction type,Sale type,Sales channel,POS location,Billing country,Billing region,Billing city,Shipping country,Shipping region,Shipping city,Product type,Product vendor,Product,Variant,Variant SKU,Net quantity,Gross sales,Discounts,Returns,Net sales,Shipping,Taxes,Total sales
4.27665E+12,1.36881E+13,2022-01-08T15:26:08-05:00,#1935,product,order,Online Store,,United States,Illinois,Vernon Hills,United States,Illinois,Vernon Hills,Clothing,DOGORA,3 Season Heated Coat,S,,1,182.99,0,0,182.99,0,0,182.99
4.27836E+12,1.36931E+13,2022-01-09T20:05:23-05:00,#1936,product,order,Online Store,,Canada,British Columbia,Port Alberni,Canada,British Columbia,Port Alberni,,DOGORA,Medical Snuggie,M2,,2,74.38,0,0,74.38,0,3.72,78.1
4.25026E+12,1.36959E+13,2022-01-10T14:43:43-05:00,#1910,product,return,Online Store,,United States,Washington,Seattle,United States,Washington,Seattle,Clothing,DOGORA,3 Season Heated Coat,S,,-1,0,0,-182.99,-182.99,0,0,-182.99
4.23401E+12,1.36959E+13,2022-01-10T14:45:29-05:00,#1903,product,return,Online Store,,United States,Washington,Seattle,United States,Washington,Seattle,Clothing,DOGORA,3 Season Heated Coat,M1,,-1,0,0,-196.99,-196.99,0,0,-196.99
4.2808E+12,1.37007E+13,2022-01-11T17:47:47-05:00,#1937,product,order,Online Store,,Canada,Ontario,Lasalle,Canada,Ontario,Lasalle,Clothing,DOGORA,3 Season Heated Coat,XS,3HC01-001,1,175.99,0,0,175.99,0,22.88,198.87
4.28186E+12,1.37041E+13,2022-01-12T13:59:00-05:00,#1938,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,Clothing,DOGORA,3 Season Heated Coat,M1,,1,196.99,-29.54,0,167.45,0,21.77,189.22
4.28205E+12,1.37047E+13,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,XL,,1,45.19,0,0,45.19,0,5.87,51.06
4.28205E+12,1.37047E+13,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,M2,,1,37.19,0,0,37.19,0,4.83,42.02
4.28205E+12,1.37047E+13,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,M1,,3,95.97,0,0,95.97,0,12.48,108.45
4.28205E+12,1.37047E+13,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,L,,2,82.48,0,0,82.48,0,10.72,93.2
4.28205E+12,1.37047E+13,2022-01-12T16:21:12-05:00,#1939,product,order,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,DOGORA,Medical Snuggie,XS,,4,95.96,0,0,95.96,0,12.47,108.43
4.25356E+12,1.37065E+13,2022-01-13T01:53:00-05:00,#1915,unknown,return,Online Store,,Canada,Ontario,Markham,Canada,Ontario,Markham,,,,,,0,0,0,-5.65,-5.65,0,0,-5.65
4.28205E+12,1.37065E+13,2022-01-13T01:55:47-05:00,#1939,unknown,return,Online Store,,Canada,Ontario,Guelph,Canada,Ontario,Guelph,,,,,,0,0,0,-201.55,-201.55,0,0,-201.55
4.283E+12,1.37076E+13,2022-01-13T10:23:54-05:00,#1940,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Clinic Order Medical Snuggie,M2,,2,37.18,0,0,37.18,0,4.83,42.01
4.283E+12,1.37076E+13,2022-01-13T10:23:54-05:00,#1940,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Clinic Order Medical Snuggie,L,,5,103.25,0,0,103.25,0,13.42,116.67
4.283E+12,1.37076E+13,2022-01-13T10:23:54-05:00,#1940,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Clinic Order Medical Snuggie,M1,,5,79.95,0,0,79.95,0,10.39,90.34
4.21662E+12,1.37127E+13,2022-01-14T13:38:12-05:00,#1889,product,return,Online Store,,Canada,Ontario,Azilda,Canada,Ontario,Azilda,Clothing,DOGORA,3 Season Heated Coat,L,,-1,0,0,-161.25,-161.25,0,-20.96,-182.21
4.2847E+12,1.37129E+13,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,XL,,2,50,0,0,50,0,0,50
4.2847E+12,1.37129E+13,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,M2,,10,212.5,0,0,212.5,0,0,212.5
4.2847E+12,1.37129E+13,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,L,,5,112.5,0,0,112.5,0,0,112.5
4.2847E+12,1.37129E+13,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,XS,,4,55,0,0,55,0,0,55
4.2847E+12,1.37129E+13,2022-01-14T14:16:03-05:00,#1941,shipping,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,,,,,0,0,0,0,0,21.25,0,21.25
4.2847E+12,1.37129E+13,2022-01-14T14:16:03-05:00,#1941,product,order,Online Store,,United States,New Jersey,West Orange,United States,New Jersey,West Orange,,DOGORA,Custom Snuggie Reorder - West Orange Animal Hospital,M1,,10,187.5,0,0,187.5,0,0,187.5
4.28634E+12,1.37178E+13,2022-01-15T20:07:22-05:00,#1942,product,order,Online Store,,Canada,Ontario,Belleville,Canada,Ontario,Belleville,,DOGORA,Sylvester Vet Team Snuggie Reorder,Reorder,,1,159.86,0,0,159.86,0,20.78,180.64
4.28649E+12,1.37183E+13,2022-01-15T22:53:03-05:00,#1943,product,order,Online Store,,Canada,Ontario,Toronto,Canada,Ontario,Toronto,,DOGORA,Hoodie,L,,1,69.99,0,0,69.99,0,9.1,79.09
