Billing country,Billing region,Billing city,Product type,Product title,Product variant title,Day,Shipping country,Shipping region,Shipping city,Product ID,Order or return,New or returning customer,Company name,Company location name,Is B2B order,Number of products bought together,Order ID,Sale ID,Gross sales,Discounts,Returns,Net sales,Shipping charges,Taxes,Total sales,Quantity ordered
Canada,Quebec,Orford,,,,2021-01-01,Canada,Quebec,Orford,,order,New,,,FALSE,1,3.16532E+12,1.05084E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Collingwood,Clothing,"High-Top Boots ""Don't Fall Off""",,2021-01-01,Canada,Ontario,Collingwood,1.94929E+12,order,New,,,FALSE,1,3.16591E+12,1.05101E+13,99.99,0,0,99.99,0,13,112.99,1
Canada,Ontario,Nepean,Clothing,"High-Top Boots ""Don't Fall Off""",XS -  2 Boots Only,2021-01-01,Canada,Ontario,Nepean,1.94929E+12,order,New,,,FALSE,1,3.16585E+12,1.051E+13,82.99,0,0,82.99,0,10.79,93.78,1
Canada,Ontario,Mississauga,,,,2021-01-01,Canada,Ontario,Mississauga,,order,Returning,,,FALSE,1,3.16586E+12,1.051E+13,0,0,0,0,0,0,0,0
Canada,Alberta,Calgary,,,,2021-01-01,Canada,Alberta,Calgary,,order,New,,,FALSE,1,3.16597E+12,1.05103E+13,0,0,0,0,0,0,0,0
Canada,British Columbia,Rossland,,,,2021-01-01,Canada,British Columbia,Rossland,,order,New,,,FALSE,1,3.16568E+12,1.05094E+13,0,0,0,0,0,0,0,0
Canada,Quebec,Orford,Clothing,"High-Top Boots ""Don't Fall Off""",S - 2 Boots Only,2021-01-01,Canada,Quebec,Orford,1.94929E+12,order,New,,,FALSE,1,3.16532E+12,1.05084E+13,86.99,0,0,86.99,0,4.35,91.34,1
Canada,Alberta,Calgary,Clothing,"High-Top Boots ""Don't Fall Off""",,2021-01-01,Canada,Alberta,Calgary,1.94929E+12,order,New,,,FALSE,1,3.16597E+12,1.05103E+13,95.99,0,0,95.99,0,4.8,100.79,1
Canada,Ontario,Collingwood,,,,2021-01-01,Canada,Ontario,Collingwood,,order,New,,,FALSE,1,3.16591E+12,1.05101E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Nepean,,,,2021-01-01,Canada,Ontario,Nepean,,order,New,,,FALSE,1,3.16585E+12,1.051E+13,0,0,0,0,0,0,0,0
United States,Vermont,Milton,,,,2021-01-01,United States,Vermont,Milton,,order,New,,,FALSE,1,3.16576E+12,1.05097E+13,0,0,0,0,19.99,0,19.99,0
United States,Vermont,Milton,Clothing,"High-Top Boots ""Don't Fall Off""",S - 2 Boots Only,2021-01-01,United States,Vermont,Milton,1.94929E+12,order,New,,,FALSE,1,3.16576E+12,1.05097E+13,86.99,0,0,86.99,0,0,86.99,1
Canada,British Columbia,Rossland,Clothing,"High-Top Boots ""Don't Fall Off""",S - 2 Boots Only,2021-01-01,Canada,British Columbia,Rossland,1.94929E+12,order,New,,,FALSE,1,3.16568E+12,1.05094E+13,86.99,0,0,86.99,0,4.35,91.34,1
Canada,Ontario,Manotick,,,,2021-01-01,Canada,Ontario,Manotick,,order,New,,,FALSE,1,3.16533E+12,1.05084E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Mississauga,,Hoodie,M2,2021-01-01,Canada,Ontario,Mississauga,4.46952E+12,order,Returning,,,FALSE,1,3.16586E+12,1.051E+13,64.99,-12.99,0,52,0,6.76,58.76,1
Canada,Ontario,Manotick,Clothing,"High-Top Boots ""Don't Fall Off""",,2021-01-01,Canada,Ontario,Manotick,1.94929E+12,order,New,,,FALSE,1,3.16533E+12,1.05084E+13,90.99,0,0,90.99,0,11.83,102.82,1
Canada,Ontario,Hamilton,,,,2021-01-02,Canada,Ontario,Hamilton,,order,New,,,FALSE,1,3.16676E+12,1.05126E+13,0,0,0,0,0,0,0,0
Canada,Quebec,Montreal,,Vendor High-Top boots,S,2021-01-02,Canada,Quebec,Montreal,4.66769E+12,order,New,,,FALSE,1,3.16734E+12,1.05144E+13,54.36,0,0,54.36,0,2.72,57.08,1
Canada,Quebec,Montreal,,,,2021-01-02,Canada,Quebec,Montreal,,order,New,,,FALSE,1,3.16734E+12,1.05144E+13,0,0,0,0,0,0,0,0
Canada,Ontario,St. Thomas,,,,2021-01-02,Canada,Ontario,St. Thomas,,order,New,,,FALSE,1,3.16736E+12,1.05144E+13,0,0,0,0,5.99,0.78,6.77,0
Canada,Ontario,Hamilton,Clothing,"High-Top Boots ""Don't Fall Off""",,2021-01-02,Canada,Ontario,Hamilton,1.94929E+12,order,New,,,FALSE,1,3.16676E+12,1.05126E+13,95.99,0,0,95.99,0,12.48,108.47,1
Canada,Ontario,St. Thomas,,Medical Snuggie,L,2021-01-02,Canada,Ontario,St. Thomas,4.47367E+12,order,New,,,FALSE,1,3.16736E+12,1.05144E+13,41.24,0,0,41.24,0,5.36,46.6,1
Canada,Ontario,Toronto,,,,2021-01-03,Canada,Ontario,Toronto,,return,New,,,FALSE,1,3.09511E+12,1.05179E+13,0,0,-3.95,-3.95,0,0,-3.95,0
