Billing country,Billing region,Billing city,Product type,Product title,Product variant title,Day,Shipping country,Shipping region,Shipping city,Product ID,Order or return,New or returning customer,Company name,Company location name,Is B2B order,Number of products bought together,Order ID,Sale ID,Gross sales,Discounts,Returns,Net sales,Shipping charges,Taxes,Total sales,Quantity ordered
Canada,Manitoba,Winnipeg,Clothing,"High-Top Boots ""Don't Fall Off""",S - 2 Boots Only,2023-01-01,Canada,Manitoba,Winnipeg,1.94929E+12,order,New,,,FALSE,1,4.82637E+12,1.5518E+13,93.5,0,0,93.5,0,4.68,98.18,2
Canada,Quebec,Blainville,Clothing,"High-Top Boots ""Don't Fall Off""",XS -  2 Boots Only,2023-01-01,Canada,Quebec,Blainville,1.94929E+12,order,Returning,,,FALSE,1,4.8262E+12,1.55175E+13,44.75,0,0,44.75,0,2.24,46.99,1
Canada,Ontario,Ottawa,Clothing,"High-Top Boots ""Don't Fall Off""",,2023-01-01,Canada,Ontario,Ottawa,1.94929E+12,return,New,,,FALSE,1,4.73916E+12,1.55183E+13,0,0,-87.98,-87.98,0,-11.44,-99.42,0
Canada,Quebec,Blainville,,,,2023-01-01,Canada,Quebec,Blainville,,order,Returning,,,FALSE,1,4.8262E+12,1.55175E+13,0,0,0,0,5.99,0.3,6.29,0
Canada,Manitoba,Winnipeg,,,,2023-01-01,Canada,Manitoba,Winnipeg,,order,New,,,FALSE,1,4.82637E+12,1.5518E+13,0,0,0,0,0,0,0,0
Canada,Alberta,Red Deer,,,,2023-01-02,Canada,Alberta,Red Deer,0,return,New,,,FALSE,1,4.71656E+12,1.55213E+13,0,0,-27.2,-27.2,0,-1.36,-28.56,0
Canada,Quebec,Montréal,,,,2023-01-02,Canada,Quebec,Montréal,,order,New,,,FALSE,1,4.82762E+12,1.55219E+13,0,0,0,0,0,0,0,0
United States,California,Beaumont,,,,2023-01-02,United States,California,Beaumont,,order,New,,,FALSE,1,4.82783E+12,1.55226E+13,0,0,0,0,21.7,0,21.7,0
Canada,Alberta,Red Deer,Clothing,"High-Top Boots ""Don't Fall Off""",,2023-01-02,Canada,Alberta,Red Deer,1.94929E+12,return,New,,,FALSE,1,4.71656E+12,1.55213E+13,0,0,-54.4,-54.4,0,-2.72,-57.12,0
Canada,Ontario,Ottawa,Clothing,"High-Top Boots ""Don't Fall Off""",,2023-01-02,Canada,Ontario,Ottawa,1.94929E+12,return,New,,,FALSE,1,4.7496E+12,1.55216E+13,0,0,-42.07,-42.07,0,-5.47,-47.54,0
Canada,Alberta,Stony Plain,,Medical Snuggie,S,2023-01-02,Canada,Alberta,Stony Plain,4.47367E+12,order,New,,,FALSE,1,4.82746E+12,1.55214E+13,82.98,0,0,82.98,0,4.15,87.13,2
Canada,Quebec,Quebec,Clothing,"High-Top Boots ""Don't Fall Off""",S - 2 Boots Only,2023-01-02,Canada,Quebec,Quebec,1.94929E+12,order,New,,,FALSE,1,4.82717E+12,1.55205E+13,46.75,0,0,46.75,0,2.34,49.09,1
Canada,Alberta,Stony Plain,,,,2023-01-02,Canada,Alberta,Stony Plain,,order,New,,,FALSE,1,4.82746E+12,1.55214E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Oshawa,Clothing,"High-Top Boots ""Don't Fall Off""",,2023-01-02,Canada,Ontario,Oshawa,1.94929E+12,return,New,,,FALSE,1,4.79236E+12,1.55216E+13,0,0,-108.8,-108.8,0,-14.14,-122.94,0
Canada,Quebec,Quebec,,,,2023-01-02,Canada,Quebec,Quebec,,order,New,,,FALSE,1,4.82717E+12,1.55205E+13,0,0,0,0,0,0,0,0
United States,California,Beaumont,,Hoodie,XL,2023-01-02,United States,California,Beaumont,4.46952E+12,order,New,,,FALSE,1,4.82783E+12,1.55226E+13,77.31,0,0,77.31,0,0,77.31,1
Canada,Ontario,Ottawa,,,,2023-01-02,Canada,Ontario,Ottawa,,return,New,,,FALSE,1,4.7496E+12,1.55216E+13,0,0,-1,-1,0,0,-1,0
Canada,Quebec,Quebec,Clothing,"High-Top Boots ""Don't Fall Off""",XS -  2 Boots Only,2023-01-02,Canada,Quebec,Quebec,1.94929E+12,order,New,,,FALSE,1,4.82717E+12,1.55205E+13,44.75,0,0,44.75,0,2.24,46.99,1
Canada,Quebec,Montréal,Clothing,"High-Top Boots ""Don't Fall Off""",XS -  2 Boots Only,2023-01-02,Canada,Quebec,Montréal,1.94929E+12,order,New,,,FALSE,1,4.82762E+12,1.55219E+13,44.75,0,0,44.75,0,2.24,46.99,1
Canada,Quebec,Montréal,Clothing,"High-Top Boots ""Don't Fall Off""",S - 2 Boots Only,2023-01-02,Canada,Quebec,Montréal,1.94929E+12,order,New,,,FALSE,1,4.82762E+12,1.55219E+13,46.75,0,0,46.75,0,2.34,49.09,1
Canada,Ontario,Toronto,,,,2023-01-03,Canada,Ontario,Toronto,,order,Returning,,,FALSE,1,4.82867E+12,1.55253E+13,0,0,0,0,0,0,0,0
