Billing country,Billing region,Billing city,Product type,Product title,Product variant title,Day,Shipping country,Shipping region,Shipping city,Product ID,Order or return,New or returning customer,Company name,Company location name,Is B2B order,Number of products bought together,Order ID,Sale ID,Gross sales,Discounts,Returns,Net sales,Shipping charges,Taxes,Total sales,Quantity ordered
Canada,Ontario,Vaughan,,,,2020-02-13,Canada,Ontario,Vaughan,,order,New,,,FALSE,1,2.01766E+12,6.20589E+12,0,0,0,0,0,0,0,0
Canada,Ontario,Vaughan,Clothing,DOGORA™ Clinic Starter Kit,Starter Kit,2020-02-13,Canada,Ontario,Vaughan,1.95713E+12,order,New,,,FALSE,1,2.0175E+12,6.20544E+12,27,0,0,27,0,0,27,1
Canada,Ontario,Vaughan,,,,2020-02-13,Canada,Ontario,Vaughan,,order,New,,,FALSE,1,2.0175E+12,6.20544E+12,0,0,0,0,0,0,0,0
Canada,Ontario,Vaughan,Clothing,3 Season Heated Coat,XL,2020-02-13,Canada,Ontario,Vaughan,1.85914E+12,order,New,,,FALSE,1,2.01766E+12,6.20589E+12,230,0,0,230,0,0,230,1
Canada,Ontario,Milton,,,,2020-02-18,Canada,Ontario,Milton,,order,New,,,FALSE,1,2.02437E+12,6.22485E+12,0,0,0,0,0,0,0,0
Canada,Ontario,Milton,Clothing,"High-Top Boots ""Don't Fall Off""",S - 2 Boots Only,2020-02-18,Canada,Ontario,Milton,1.94929E+12,order,New,,,FALSE,1,2.02437E+12,6.22485E+12,91.5,0,0,91.5,0,0,91.5,1
Canada,Ontario,Milton,,,,2020-02-19,Canada,Ontario,Milton,,order,New,,,FALSE,1,2.02617E+12,6.23027E+12,0,0,0,0,9.99,0,9.99,0
Canada,Ontario,Milton,Clothing,"High-Top Boots ""Don't Fall Off""",XS -  2 Boots Only,2020-02-19,Canada,Ontario,Milton,1.94929E+12,order,New,,,FALSE,1,2.02617E+12,6.23027E+12,90,0,0,90,0,0,90,1
Canada,Ontario,Milton,,,,2020-02-20,Canada,Ontario,Milton,,return,New,,,FALSE,1,2.02617E+12,1.8958E+13,0,0,0,0,-9.99,0,-9.99,0
Canada,Ontario,Milton,,,,2020-02-20,Canada,Ontario,Milton,,return,New,,,FALSE,1,2.02617E+12,1.8958E+13,0,0,0,0,9.99,0,9.99,0
