Billing country,Billing region,Billing city,Product type,Product title,Product variant title,Day,Shipping country,Shipping region,Shipping city,Product ID,Order or return,New or returning customer,Company name,Company location name,Is B2B order,Number of products bought together,Order ID,Sale ID,Gross sales,Discounts,Returns,Net sales,Shipping charges,Taxes,Total sales,Quantity ordered
Canada,Quebec,Gatineau,,Know Brainer Balls x2,2 Balls,2025-01-01,Canada,Quebec,Gatineau,7.75958E+12,order,New,,,FALSE,1,6.1368E+12,1.99353E+13,95.97,-28.79,0,67.18,0,3.36,70.54,3
Canada,Ontario,Ottawa,,Know Brainer Balls x2,2 Balls,2025-01-01,Canada,Ontario,Ottawa,7.75958E+12,order,New,,,FALSE,1,6.13733E+12,1.9937E+13,31.99,0,0,31.99,0,4.16,36.15,1
Canada,Alberta,Fort McMurray,,,,2025-01-01,Canada,Alberta,Fort McMurray,,order,Returning,,,FALSE,1,6.13744E+12,1.99374E+13,0,0,0,0,5.99,0.3,6.29,0
Canada,Quebec,Gatineau,,,,2025-01-01,Canada,Quebec,Gatineau,,order,New,,,FALSE,1,6.1368E+12,1.99353E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Ottawa,,,,2025-01-01,Canada,Ontario,Ottawa,,order,New,,,FALSE,1,6.13733E+12,1.9937E+13,0,0,0,0,5.99,0.78,6.77,0
Canada,Alberta,Fort McMurray,,Know Brainer Balls x2,2 Balls,2025-01-01,Canada,Alberta,Fort McMurray,7.75958E+12,order,Returning,,,FALSE,1,6.13744E+12,1.99374E+13,31.99,0,0,31.99,0,1.6,33.59,1
Canada,Ontario,Amherstburg,,"High Top Boots ""Stay-On"" Technology",L|7,2025-01-02,Canada,Ontario,Amherstburg,7.76384E+12,order,New,,,FALSE,1,6.13819E+12,1.99397E+13,59.5,-5.95,0,53.55,0,6.96,60.51,1
Canada,Ontario,Markham,,"High Top Boots ""Stay-On"" Technology",XS|4,2025-01-02,Canada,Ontario,Markham,7.76384E+12,order,Returning,,,FALSE,1,6.13869E+12,1.99413E+13,54.5,-5.45,0,49.05,0,6.38,55.43,1
Canada,Ontario,Amherstburg,,"High Top Boots ""Stay-On"" Technology",S|5,2025-01-02,Canada,Ontario,Amherstburg,7.76384E+12,order,New,,,FALSE,1,6.13819E+12,1.99397E+13,55.5,-5.55,0,49.95,0,6.49,56.44,1
Canada,Ontario,Markham,,,,2025-01-02,Canada,Ontario,Markham,,order,Returning,,,FALSE,1,6.13869E+12,1.99413E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Toronto,,,,2025-01-02,Canada,Ontario,Toronto,,order,Returning,,,FALSE,1,6.13841E+12,1.99404E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Brampton,,,,2025-01-02,Canada,Ontario,Brampton,,order,Returning,,,FALSE,1,6.13859E+12,1.9941E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Amherstburg,,"High Top Boots ""Stay-On"" Technology",M|6,2025-01-02,Canada,Ontario,Amherstburg,7.76384E+12,order,New,,,FALSE,1,6.13819E+12,1.99397E+13,57.5,-5.75,0,51.75,0,6.73,58.48,1
United States,Texas,Killeen,,Hoodie,L,2025-01-02,United States,Texas,Killeen,4.46952E+12,order,Returning,,,FALSE,1,6.1375E+12,1.99375E+13,54.63,0,0,54.63,0,0,54.63,1
United States,Texas,Killeen,,,,2025-01-02,United States,Texas,Killeen,,order,Returning,,,FALSE,1,6.1375E+12,1.99375E+13,0,0,0,0,21.56,0,21.56,0
Canada,Ontario,Brampton,,"High Top Boots ""Stay-On"" Technology",L|7,2025-01-02,Canada,Ontario,Brampton,7.76384E+12,order,Returning,,,FALSE,1,6.13859E+12,1.9941E+13,119,-11.9,0,107.1,0,13.92,121.02,2
Canada,Quebec,Sherbrooke,,,,2025-01-02,Canada,Quebec,Sherbrooke,,order,Returning,,,FALSE,1,6.13813E+12,1.99395E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Markham,,"High Top Boots ""Stay-On"" Technology",S|5,2025-01-02,Canada,Ontario,Markham,7.76384E+12,order,Returning,,,FALSE,1,6.13869E+12,1.99413E+13,55.5,-5.55,0,49.95,0,6.49,56.44,1
Canada,Quebec,Sherbrooke,,"High Top Boots ""Stay-On"" Technology",XXXS|2,2025-01-02,Canada,Quebec,Sherbrooke,7.76384E+12,order,Returning,,,FALSE,1,6.13813E+12,1.99395E+13,51.5,-5.15,0,46.35,0,2.32,48.67,1
Canada,Ontario,Toronto,,"High Top Boots ""Stay-On"" Technology",XXXL|10,2025-01-02,Canada,Ontario,Toronto,7.76384E+12,order,Returning,,,FALSE,1,6.13841E+12,1.99404E+13,65,-6.5,0,58.5,0,7.61,66.11,1
Canada,Ontario,Amherstburg,,,,2025-01-02,Canada,Ontario,Amherstburg,,order,New,,,FALSE,1,6.13819E+12,1.99397E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Amherstburg,,"High Top Boots ""Stay-On"" Technology",XL|8,2025-01-02,Canada,Ontario,Amherstburg,7.76384E+12,order,New,,,FALSE,1,6.13819E+12,1.99397E+13,61.5,-6.15,0,55.35,0,7.2,62.55,1
Canada,Ontario,Oakville,,Know Brainer Balls x2,2 Balls,2025-01-03,Canada,Ontario,Oakville,7.75958E+12,order,Returning,,,FALSE,1,6.13954E+12,1.9944E+13,31.99,0,0,31.99,0,4.16,36.15,1
Canada,Ontario,North York,,"High Top Boots ""Stay-On"" Technology",XXS|3,2025-01-03,Canada,Ontario,Toronto,7.76384E+12,order,Returning,,,FALSE,2,6.13922E+12,1.99431E+13,53.5,-5.35,0,48.15,0,6.26,54.41,1
Canada,Ontario,North York,,,,2025-01-03,Canada,Ontario,Toronto,,order,Returning,,,FALSE,2,6.13922E+12,1.99431E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Oakville,,,,2025-01-03,Canada,Ontario,Oakville,,order,Returning,,,FALSE,1,6.13954E+12,1.9944E+13,0,0,0,0,5.99,0.78,6.77,0
Canada,Ontario,Woodbridge,,Clinic Order Medical Snuggie,M2,2025-01-03,Canada,Ontario,Woodbridge,4.6145E+12,order,New,,,FALSE,1,6.13972E+12,1.99446E+13,24.58,0,0,24.58,0,3.2,27.78,1
Canada,Ontario,Woodbridge,,Clinic Order Medical Snuggie,S,2025-01-03,Canada,Ontario,Woodbridge,4.6145E+12,order,New,,,FALSE,1,6.13972E+12,1.99446E+13,77.8,0,0,77.8,0,10.11,87.91,4
Canada,Ontario,Woodbridge,,Clinic Order Medical Snuggie,XS,2025-01-03,Canada,Ontario,Woodbridge,4.6145E+12,order,New,,,FALSE,1,6.13972E+12,1.99446E+13,53.25,0,0,53.25,0,6.92,60.17,3
Canada,Ontario,Woodbridge,,,,2025-01-03,Canada,Ontario,Woodbridge,,order,New,,,FALSE,1,6.13972E+12,1.99446E+13,0,0,0,0,0,0,0,0
United States,Washington,Seattle,Clothing,"High-Top Boots ""Don't Fall Off""",XXS - 2 Boots Only,2025-01-03,United States,Washington,Seattle,1.94929E+12,order,New,,,FALSE,1,6.13924E+12,1.99431E+13,63.32,0,0,63.32,0,0,63.32,2
United States,Washington,Seattle,,,,2025-01-03,United States,Washington,Seattle,,order,New,,,FALSE,1,6.13924E+12,1.99431E+13,0,0,0,0,21.58,0,21.58,0
Canada,Ontario,North York,,Trench Coat,L,2025-01-03,Canada,Ontario,Toronto,4.46952E+12,order,Returning,,,FALSE,2,6.13922E+12,1.99431E+13,57.36,0,0,57.36,0,7.46,64.82,1
Canada,British Columbia,Vancouver,,"High Top Boots ""Stay-On"" Technology",XXL|9,2025-01-04,Canada,British Columbia,Richmond,7.76384E+12,order,New,,,FALSE,1,6.14143E+12,1.99499E+13,127,-12.7,0,114.3,0,5.72,120.02,2
Canada,Ontario,Ajax,,,,2025-01-04,Canada,Ontario,Ajax,,return,New,,,FALSE,1,6.09825E+12,1.99498E+13,0,0,218.66,218.66,0,0,218.66,0
Canada,British Columbia,Vancouver,,,,2025-01-04,Canada,British Columbia,Richmond,,order,New,,,FALSE,1,6.14143E+12,1.99499E+13,0,0,0,0,0,0,0,0
Canada,Alberta,Canmore,,Know Brainer Balls x2,2 Balls,2025-01-04,Canada,Alberta,Canmore,7.75958E+12,order,New,,,FALSE,1,6.14177E+12,1.9951E+13,31.99,0,0,31.99,0,1.6,33.59,1
United States,Washington,Anacortes,Clothing,3 Season Heated Coat,XS,2025-01-04,United States,Washington,Anacortes,1.85914E+12,return,New,,,FALSE,1,6.00465E+12,1.99481E+13,0,0,-130.03,-130.03,0,0,-130.03,0
United States,Washington,Anacortes,,,,2025-01-04,United States,Washington,Anacortes,,return,New,,,FALSE,1,6.00465E+12,1.99529E+13,0,0,-135.23,-135.23,0,0,-135.23,0
Canada,Ontario,Ajax,,,,2025-01-04,Canada,Ontario,Ajax,,return,New,,,FALSE,1,6.09825E+12,1.99546E+13,0,0,-218.66,-218.66,0,0,-218.66,0
United States,Washington,Anacortes,,,,2025-01-04,United States,Washington,Anacortes,,return,New,,,FALSE,1,6.00465E+12,1.99481E+13,0,0,135.23,135.23,0,0,135.23,0
Canada,Alberta,Canmore,,,,2025-01-04,Canada,Alberta,Canmore,,order,New,,,FALSE,1,6.14177E+12,1.9951E+13,0,0,0,0,5.99,0.3,6.29,0
Canada,Ontario,Ajax,Clothing,3 Season Heated Coat,L,2025-01-04,Canada,Ontario,Ajax,1.85914E+12,return,New,,,FALSE,1,6.09825E+12,1.99498E+13,0,0,-193.5,-193.5,0,-25.16,-218.66,0
Canada,Ontario,Toronto,,"High Top Boots ""Stay-On"" Technology",XS|4,2025-01-05,Canada,Ontario,Toronto,7.76384E+12,order,New,,,FALSE,1,6.14344E+12,1.99561E+13,54.5,-5.45,0,49.05,0,6.38,55.43,1
Canada,Ontario,Toronto,,"High Top Boots ""Stay-On"" Technology",S|5,2025-01-05,Canada,Ontario,Toronto,7.76384E+12,order,New,,,FALSE,1,6.14344E+12,1.99561E+13,55.5,-5.55,0,49.95,0,6.49,56.44,1
Canada,Ontario,Toronto,,,,2025-01-05,Canada,Ontario,Toronto,,order,New,,,FALSE,1,6.14344E+12,1.99561E+13,0,0,0,0,0,0,0,0
Canada,Ontario,Kitchener,,Clinic Order Medical Snuggie,M2,2025-01-06,Canada,Ontario,Kitchener,4.6145E+12,order,Returning,,,FALSE,1,6.14486E+12,1.99604E+13,122.9,0,0,122.9,0,15.98,138.88,5
Canada,Ontario,Paris,,Know Brainer Balls x2,2 Balls,2025-01-06,Canada,Ontario,Paris,7.75958E+12,order,New,,,FALSE,1,6.14452E+12,1.99593E+13,31.99,0,0,31.99,0,4.16,36.15,1
